Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000282,693.2353012681101,676.6806038082166,716.3878475883124,531.1694896401046,404.0597941982612,618.9361144766762,548.0093300446788,536.1239218256707,521.8659542793278,590.0926782752744,676.4577884013021,445.1583920426628,516.3752305059313,490.7226542717532
ENSMUSG00000000290,222.28633434243727,282.6017444094358,290.830999090244,317.80083493466697,209.22812163370241,322.73302165553116,291.0273046344066,231.1215771400273,249.23637344590298,540.6431575488136,271.0607125057459,229.92662768453752,310.25924561963336,321.080394189093
ENSMUSG00000000295,444.38404966956864,365.5085108734158,374.2042698388416,427.59245257616476,437.5774988787254,386.673956979876,385.2745638407674,441.9108902421246,422.89922166411344,339.3657029264234,445.73720103939786,456.9425560657895,412.1632287974294,413.1729868063776
ENSMUSG00000000296,759.4978813133079,728.3572227313152,815.5417903637572,889.9064605031228,920.9513830591392,736.9638164749742,788.4759015848445,690.1335950280331,700.5240754261338,615.0824823747364,703.5758180117372,644.0137538636427,615.6416383017496,648.9520472635564
ENSMUSG00000000303,9293.133153335664,11409.740370189824,11720.0320530067,9825.166877730084,10151.633363262523,10293.308827252718,10082.585702236192,12050.532304708204,11816.039153448259,12293.5244142122,12654.35382129756,11775.028392622995,11513.81886845476,12311.20787236754
ENSMUSG00000000305,91.50960876933729,109.95669106982209,108.70792618016677,94.99313577239158,100.07489316363811,96.3957536772297,80.15914686575688,76.60169348118433,85.39927685900004,84.29596067019368,85.39941629067076,63.0651205332983,69.25463295501072,80.85141024789618
ENSMUSG00000000308,2512.5929762392834,3179.1265923728142,2828.821345177016,2374.037528680434,2358.548814225756,2750.43492027583,2705.78783263346,2241.352231684008,2012.308655246974,2109.2207652637817,2078.3076412116598,2249.6401103952726,1953.7962984246158,2033.4674341019527
ENSMUSG00000000317,394.4455063191007,391.5886919646972,344.58584922286684,428.8981002394656,409.0797821562262,334.281340607368,348.5984901988778,323.6049461671471,317.00223606220703,392.3574077261044,413.991408054366,408.18292309458275,299.8346517436354,335.1778712923604
ENSMUSG00000000318,20.587535810960546,15.462540775728694,20.875802933437804,29.29055453009675,11.193184354887855,24.740143432030813,20.780369816904315,25.250586867070687,28.5504301138075,33.318305866612796,22.79744225381032,22.625886546719723,28.673531160964465,24.3840296907617
ENSMUSG00000000320,154.8540499602718,183.41221310250222,184.12144902106294,166.6212368303568,162.220159412202,149.8329964522486,170.1238930618666,158.26999833999824,139.0794149954216,157.9202093192148,168.70768523343082,160.93309311124926,138.9098791879246,161.035363356909
